ind_id,race_id,municipality,csd,province,first_name,last_name,party,votes_received,total_votes,incumbent,elected,acclaimed,gender,election_year,election_date,position,ward,source
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Michael,Petrakis,Independent,406,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Jennifer (Jenn),Prosser,Independent,5872,164920,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Chris,Rowley,Independent,763,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Wally,Schenk,Independent,5574,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Jenn,Schmidt-Rempel,Independent,10463,164920,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Suketu,Shah,Independent,3636,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Boyd,Thomas,Independent,3083,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Tim,Vanderbeek,Independent,2720,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Robin Ryan,Walker,Independent,1884,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Bradley L.,Whalen,Independent,487,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
