,ind_id,race_id,municipality,csd,province,first_name,last_name,party,votes_received,total_votes,incumbent,elected,acclaimed,gender,election_year,election_date,position,ward,source
69,,Lethbridge2021councillor99,Lethbridge,,AB,Nick,Paladino,Independent,7916.0,164920.0,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
70,,Lethbridge2021councillor99,Lethbridge,,AB,Ryan,Parker,Independent,10256.0,164920.0,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
71,,Lethbridge2021councillor99,Lethbridge,,AB,Harold (Harold!),Pereverseff,Independent,5643.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
72,,Lethbridge2021councillor99,Lethbridge,,AB,Michael,Petrakis,Independent,406.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
73,,Lethbridge2021councillor99,Lethbridge,,AB,Jennifer (Jenn),Prosser,Independent,5872.0,164920.0,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
74,,Lethbridge2021councillor99,Lethbridge,,AB,Chris,Rowley,Independent,763.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
75,,Lethbridge2021councillor99,Lethbridge,,AB,Wally,Schenk,Independent,5574.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
76,,Lethbridge2021councillor99,Lethbridge,,AB,Jenn,Schmidt-Rempel,Independent,10463.0,164920.0,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
77,,Lethbridge2021councillor99,Lethbridge,,AB,Suketu,Shah,Independent,3636.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
78,,Lethbridge2021councillor99,Lethbridge,,AB,Boyd,Thomas,Independent,3083.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
79,,Lethbridge2021councillor99,Lethbridge,,AB,Tim,Vanderbeek,Independent,2720.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
80,,Lethbridge2021councillor99,Lethbridge,,AB,Robin Ryan,Walker,Independent,1884.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
81,,Lethbridge2021councillor99,Lethbridge,,AB,Bradley L.,Whalen,Independent,487.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
82,,Lethbridge2021councillor99,Lethbridge,,AB,Davey,Wiggers,Independent,1707.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
83,,Lethbridge2021councillor99,Lethbridge,,AB,Ryan,Wolfe,Independent,7651.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
84,,Brooks2021mayor99,Brooks,,AB,Norman,Gerestein,Independent,1162.0,2742.0,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
85,,Brooks2021mayor99,Brooks,,AB,John,Petrie,Independent,1580.0,2742.0,0,1,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
86,,Brooks2021councillor99,Brooks,,AB,Joel,Goodnough,Independent,1336.0,12436.0,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
87,,Brooks2021councillor99,Brooks,,AB,Mohammed,Idriss,Independent,1150.0,12436.0,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
88,,Brooks2021councillor99,Brooks,,AB,Fakhar,Islam,Independent,412.0,12436.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
89,,Brooks2021councillor99,Brooks,,AB,Ray,Juska,Independent,1117.0,12436.0,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
90,,Brooks2021councillor99,Brooks,,AB,Chris,Kenney,Independent,435.0,12436.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
91,,Brooks2021councillor99,Brooks,,AB,Grace,Miedema,Independent,744.0,12436.0,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
92,,Brooks2021councillor99,Brooks,,AB,Ryan,Mobbs,Independent,639.0,12436.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
93,,Brooks2021councillor99,Brooks,,AB,Jon,Nesbitt,Independent,1367.0,12436.0,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
94,,Brooks2021councillor99,Brooks,,AB,Bill,Prentice,Independent,1146.0,12436.0,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
95,,Brooks2021councillor99,Brooks,,AB,Mike,Regner,Independent,810.0,12436.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
96,,Brooks2021councillor99,Brooks,,AB,Jim,Third,Independent,1113.0,12436.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
97,,Brooks2021councillor99,Brooks,,AB,Marisssa,Wardrop,Independent,1213.0,12436.0,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
98,,Brooks2021councillor99,Brooks,,AB,Dave,Zukowki,Independent,954.0,12436.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
99,,Strathmore2021mayor99,Strathmore,,AB,Lorraine,Bauer,Independent,486.0,3594.0,0,0,0,F,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
100,,Strathmore2021mayor99,Strathmore,,AB,Jason,Chase,Independent,95.0,3594.0,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
101,,Strathmore2021mayor99,Strathmore,,AB,Patrick,Fule,Independent,2019.0,3594.0,1,1,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
102,,Strathmore2021mayor99,Strathmore,,AB,Jason,Hollingsworth,Independent,994.0,3594.0,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
103,,Strathmore2021councillor99,Strathmore,,AB,Brian,Cunningham,Independent,961.0,17039.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
104,,Strathmore2021councillor99,Strathmore,,AB,Nicole,Gibbons,Independent,1103.0,17039.0,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
